SpaceID,BlockFace,MeterType,RateType,RateRange,MeteredTimeLimit,ParkingPolicy,StreetCleaning,Lan,Long,LowestRate
HW196,5200 HOLLYWOOD BL,Single-Space,FLAT,$1.00 ,1HR,8A-8P Mon-Sat,,34.101663,-118.30501,1
SP337,301 7TH ST,Single-Space,FLAT,$0.50 ,2HR,8A-6P Mon-Sat,4A-630A Wed,33.737778,-118.285346,0.5
WV58,10901 KINROSS AV,Single-Space,TOD,$1 - $1.5,30MIN,"8A-8P Mon-Sat, 11A-8P Sun",,34.060098,-118.446863,1
NH1058,11300 CAMARILLO ST,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Sat,10A-12P Fri,34.157563,-118.378111,1
SW395,900 WESTERN AV,Single-Space,FLAT,$1.00 ,1HR,8A-8P Mon-Sat,,34.08701,-118.309027,1
WU286,600 LUCAS AV,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Sat,12P-3P Thu,34.053273,-118.264596,1
WSV10,11400 SAN VICENTE BL,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.051991,-118.460394,1
MD499,1201 MISSION RD,Single-Space,FLAT,$1.00 ,4HR,8A-8P Mon-Sat,,34.062471,-118.211843,1
EN724,17200 VENTURA BL,Single-Space,FLAT,$1.00 ,2HR,TANS 6A-9A Mon-Fri | PKG 9A-8P Mon-Sat,,34.160626,-118.50895,1
MD167,1601 MARENGO ST,Single-Space,JUMP,$1\hr - $4\10hr,10HR,8A-8P Mon-Sat,4A-630A Thu,34.06,-118.213654,1
SG98,7400 SUNSET BL,Single-Space,FLAT,$1.00 ,1HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P, 7P-9P Mon-Fri, 8A-9P Sat",,34.097924,-118.352529,1
SS531,11301 IOWA AV,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.044609,-118.448794,1
VW402,651 NEW HAMPSHIRE AV,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Sat,10A-1P Thu,34.061382,-118.292984,1
HO482A,6301 YUCCA ST,Single-Space,TOD,$1.5 - $3,2HR,"8A-8P Mon-Sat, 11A-8P Sun",8A-10A Mon,34.103957,-118.327654,1.5
LP224,4300 DEGNAN BL,Single-Space,FLAT,$1.00 ,4HR,8A-8P Mon-Sat,,34.005594,-118.331337,1
NH1137,10701 WHIPPLE ST,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Fri,8A-10A Thu,34.148128,-118.364156,1
SA128,1201 LOGAN ST,Single-Space,FLAT,$1.00 ,1HR,"PKG 8A-8P Mon-Thu, 8A-1P Fri, 8A-8P Sat | NP 1P-10P Fri",10A-12P Thu,34.076988,-118.258639,1
SA71,2100 SUNSET BL,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.07755,-118.265809,1
SP368,201 7TH ST,Single-Space,FLAT,$0.50 ,2HR,8A-6P Mon-Sat,4A-630A Wed,33.737755,-118.281657,0.5
CB3730,400 MAIN ST,Single-Space,TOD,$1 - $4,2HR,8A-8P Mon-Sat,3A-5A Daily,34.047014,-118.248124,1
SW142,1100 SAINT ANDREWS PL,Single-Space,FLAT,$1.00 ,1HR,8A-8P Mon-Sat,10A-1P Mon,34.091464,-118.310831,1
SV176,6701 SUNSET BL,Single-Space,FLAT,$0.50 ,2HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Fri, 8A-8P Sat, 11A-8P Sun",,34.09808,-118.336941,0.5
CB1233A,1101 S. OLIVE ST,Single-Space,TOD,$0.5 - $2,4HR,8A-8P Mon-Sat,,34.040222,-118.261605,0.5
PM184,9600 VENICE BL,Single-Space,FLAT,$1.00 ,1HR,8A-8P Mon-Sat,,34.024701,-118.39609,1
AE51,200 S GAREY ST,Single-Space,JUMP,$1\hr - $4\10hr,10HR,6A-4P Mon-Fri,,34.046887,-118.235083,1
WU213A,601 WITMER ST,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Sat,12P-3P Thu,34.054883,-118.26603,1
SS360,1500 BARRY AV,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,10A-12P Fri,34.044017,-118.454738,1
SVV136,801 VIRGIL AV,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.087108,-118.286968,1
CB1150A,901 S. HILL ST,Single-Space,FLAT,$1.50 ,4HR,8A-8P Mon-Sat,,34.042187,-118.258041,1.5
HO142,1600 WILCOX AV,Single-Space,TOD,$1.5 - $3,2HR,"8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.100402,-118.330945,1.5
NH1096,5100 KLUMP AV,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Sat,10A-12P Thu,34.164606,-118.375649,1
EN989,15400 VENTURA BL,Single-Space,FLAT,$1.00 ,2HR,"TANS 6A-9A, 3P-7P Mon-Fri | PKG 9A-3P Mon-Fri, 8A-8P Sat",,34.154572,-118.471362,1
AE473,400 N GAREY ST,Single-Space,JUMP,$1\hr - $4\10hr,10HR,6A-4P Mon-Fri,,34.051868,-118.234188,1
NH290,11100 CHANDLER BL,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Sat,,34.168054,-118.373688,1
WW2484,4151 BEVERLY BL,Single-Space,FLAT,$1.00 ,1HR,8A-6P Mon-Sat,,34.076372,-118.299825,1
VN1223,14500 CALVERT ST,Single-Space,TOD,$0.5 - $1,2HR,8A-8P Mon-Sat,8A-10A Mon,34.181606,-118.450671,0.5
WA11,700 ALVARADO ST,Single-Space,FLAT,$1.00 ,2HR,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat",,34.055871,-118.277083,1
WH45,19901 VENTURA BL,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.172077,-118.568107,1
CP330,22100 SHERMAN WY,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Sat,,34.200898,-118.609694,1
CB3505,300 W. 12TH ST,Single-Space,TOD,$0.5 - $1,4HR,8A-8P Mon-Sat,,34.039609,-118.262598,0.5
VH221,4500 W AMBROSE AV,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,8A-11A Fri,34.109911,-118.288029,1
WU837,1501 OLYMPIC BL,Single-Space,FLAT,$1.00 ,2HR,"TANS 7A-9A, 3P-7P Mon-Fri | PKG 9A-3P Mon-Sat",,34.048974,-118.273424,1
WW1957,3751 7TH ST,Single-Space,JUMP,$1\hr - $4\10hr,10HR,8A-6P Mon-Sat,10A-1P Wed,34.059768,-118.308689,1
WA1279,301 ALVARADO ST,Single-Space,FLAT,$1.00 ,1HR,TANS 7A-9A Mon-Fri | PKG 9A-8P Mon-Sat,,34.062539,-118.273103,1
HO952,6400 FRANKLIN AV,Single-Space,TOD,$1.5 - $2,2HR,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat, 11A-8P Sun",8A-10A Tue,34.105161,-118.330637,1.5
SO496,13701 VENTURA BL,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.14825,-118.431952,1
VW651,3200 WILSHIRE BL,Single-Space,FLAT,$1.00 ,1HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Sat",,34.061682,-118.293219,1
R159,7101 RESEDA BL,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.199903,-118.53617,1
BF405,301 LAUREL AV,Single-Space,FLAT,$1.00 ,2HR,"8A-8P Mon-Sat, 11A-8P Sun",10A-12P Mon,34.076494,-118.364836,1
SO1184,4700 SEPULVEDA BL,Single-Space,JUMP,$1\hr - $4\10hr,10HR,8A-6P Mon-Sat,8A-10A Fri,34.157227,-118.466003,1
VN978,14400 GILMORE ST,Single-Space,TOD,$0.5 - $1,2HR,8A-8P Mon-Sat,10A-12P Tue,34.187601,-118.448266,0.5
SL316,1501 EDGECLIFFE DR,Single-Space,FLAT,$1.00 ,2HR,"PKG 8A-8P Mon-Fri, 2P-8P Sat | NP 6A-2P Sat",12P-2P Wed,34.090796,-118.277613,1
WW2680,3301 7TH ST,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Fri,10A-1P Thu,34.059816,-118.298958,1
HO498,6400 YUCCA ST,Single-Space,TOD,$1.5 - $3,2HR,"8A-8P Mon-Sat, 11A-8P Sun",8A-10A Tue,34.103867,-118.330665,1.5
OS804,11300 TENNESSEE AV,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.035988,-118.441058,1
PR442,1400 GLENVILLE DR,Single-Space,FLAT,$1.00 ,1HR,8A-6P Mon-Sat,4A-630A Tue,34.054904,-118.393128,1
WW958,601 HARVARD BL,Single-Space,FLAT,$1.00 ,30MIN,8A-6P Mon-Sat,8A-10A Thu,34.062409,-118.304184,1
CB1976,100 E 15TH ST,Single-Space,TOD,$0.5 - $2,4HR,8A-6P Mon-Sat,,34.034043,-118.261705,0.5
HP199,5601 FIGUEROA ST,Single-Space,FLAT,$1.00 ,1HR,8A-8P Mon-Sat,,34.109344,-118.193551,1
PR713,1201 FAIRFAX AV,Single-Space,FLAT,$1.00 ,1HR,8A-6P Mon-Sat,10A-12P Mon,34.052174,-118.36669,1
MD927,1101 CHICAGO ST,Single-Space,FLAT,$1.00 ,4HR,8A-8P Mon-Sat,730A-1030A Tue,34.057041,-118.205524,1
WV338,1000 GLENDON AV,Single-Space,TOD,$1 - $2,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,34.061111,-118.444313,1
WH446,22700 VENTURA BL,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.166523,-118.621287,1
VW1457,401 SHATTO PL,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Sat,,34.066683,-118.290038,1
WW2161,3500 WILSHIRE BL,Single-Space,FLAT,$1.00 ,1HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Sat",,34.061642,-118.301004,1
SO919,13501 VENTURA BL,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.147722,-118.42877,1
WU150,501 UNION DR,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Sat,12P-3P Mon,34.057219,-118.268751,1
RA80,101 ROBERTSON BL,Single-Space,FLAT,$2.00 ,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,34.074218,-118.383851,2
SS294A,1500 WESTGATE AV,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,12P-3P Fri,34.041916,-118.458697,1
EN1053,4700 WOODLEY AV,Single-Space,FLAT,$1.00 ,15MIN,8A-8P Mon-Sat,,34.156894,-118.483548,1
PB198,1300 OGDEN DR,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,12P-3P Mon,34.051468,-118.364299,1
WS473,11101 MASSACHUSETTS AV,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.048976,-118.445984,1
WV672A,10800 WEYBURN AV,Single-Space,TOD,$0.5 - $2,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,34.062351,-118.443658,0.5
WW2610A,3800 BEVERLY BL,Single-Space,FLAT,$1.00 ,1HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Sat",,34.076248,-118.292148,1
WN210,801 AVALON BL,Single-Space,FLAT,$0.50 ,2HR,8A-6P Mon-Sat,4A-630A Wed,33.780347,-118.262568,0.5
WA973,2100 JAMES M WOOD BL,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.05372,-118.279719,1
WH267,22100 CLARENDON  ST,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,4A-630A Fri,34.169588,-118.609378,1
OS156,2200 CORINTH AV,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.03632,-118.441006,1
SW488,5400 BARTON AV,Single-Space,FLAT,$1.00 ,1HR,8A-8P Mon-Sat,8A-10A Fri,34.087554,-118.309564,1
ED308,1100 E 12TH ST,Single-Space,JUMP,$0.5\hr - $2\10hr,10HR,8A-6P Mon-Sat,,34.030575,-118.246349,0.5
TZ132,18501 VENTURA BL,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.169847,-118.538362,1
BH214,2400 CESAR E CHAVEZ AV,Single-Space,FLAT,$1.00 ,1HR,8A-8P Mon-Sat,,34.046562,-118.207453,1
CB1949A,201 E 14TH ST,Single-Space,TOD,$0.5 - $2,2HR,8A-6P Mon-Sat,,34.034374,-118.259383,0.5
CB1235A,1101 S. OLIVE ST,Single-Space,TOD,$0.5 - $2,4HR,8A-8P Mon-Sat,,34.039868,-118.261936,0.5
LM233,701 LA BREA AV,Single-Space,FLAT,$1.00 ,1HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Fri, 8A-8P Sat, 11A-8P Sun",,34.084783,-118.344176,1
PC138,1301 4TH AV,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Sat,8A-11A Wed,34.046934,-118.321422,1
WS793,1800 FOX HILLS DR,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.058528,-118.42156,1
SV617,1500 HIGHLAND AV,Single-Space,FLAT,$0.50 ,2HR,"TANS 7A-9A, 3P-7P Mon-Fri | PKG 9A-3P Mon-Fri, 8A-8P Sat, 11A-8P Sun",,34.099183,-118.338553,0.5
AE472,400 N GAREY ST,Single-Space,JUMP,$1\hr - $4\10hr,10HR,6A-4P Mon-Fri,,34.051925,-118.234176,1
CB578,301 E. 12TH ST,Single-Space,FLAT,$4.00 ,2HR,"8A-6P Mon-Sat, 11A-6P Sun",,34.035868,-118.256569,4
LC427,8400 MELROSE PL,Single-Space,FLAT,$1.00 ,2HR,"PLO 8A-6P Mon-Sat | PKG 6P-8P Mon-Sat, 11A-8P Sun",,34.083538,-118.375055,1
PR788,1300 BEVERLY GREEN DR,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Sat,10A-12P Mon,34.053265,-118.405079,1
VW1384A,651 BERENDO ST,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Sat,10A-1P Wed,34.060166,-118.294221,1
VS447,4701 FOUNTAIN AV,Single-Space,FLAT,$1.00 ,4HR,8A-8P Mon-Sat,12P-3P Wed,34.095624,-118.292133,1
SW315,5600 MELROSE AV,Single-Space,FLAT,$1.00 ,1HR,"TANS 7A-9A, 3P-7P Mon-Fri | PKG 9A-3P Mon-Sat",,34.083417,-118.323242,1
PM120A,3700 CLARINGTON AV,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,8A-10A Wed,34.023,-118.400615,1
WA1595,1801 PICO BL,Single-Space,FLAT,$1.00 ,1HR,TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Sat,,34.045692,-118.279028,1
AE432,600 DUCOMMUN ST,Single-Space,JUMP,$1\hr - $4\10hr,10HR,6A-4P Mon-Fri,,34.052038,-118.233934,1
PR592,6001 PICO BL,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Sat,,34.052748,-118.372557,1
SVV356,4200 MELROSE AV,Single-Space,FLAT,$1.00 ,1HR,"TANS 7A-9A, 3P-7P Mon-Fri | PKG 9A-3P Mon-Fri, 8A-8P Sat",,34.083524,-118.293107,1
SV72,6401 SUNSET BL,Single-Space,TOD,$0.5 - $1,2HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Fri, 8A-8P Sat, 11A-8P Sun",,34.098093,-118.329791,0.5
PW189,2301 WESTWOOD BL,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Sat,,34.040513,-118.428961,1
CB1007,101 E PICO BLVD,Single-Space,TOD,$0.5 - $2,2HR,"TANS 7A-9A, 4P-6P Mon-Fri | PKG 9A-4P Mon-Sat",,34.036016,-118.259725,0.5
VW770,500 S VERMONT AV,Single-Space,FLAT,$1.00 ,1HR,"TANS 7A-9A, 4P-6P Mon-Fri | PKG 9A-4P Mon-Sat",,34.064747,-118.291525,1
LM491,7201 BEVERLY BL,Single-Space,FLAT,$1.00 ,1HR,"8A-8P Mon-Sat, 11A-8P Sun",,34.076256,-118.348258,1
SW248,5201 MELROSE AV,Single-Space,FLAT,$1.00 ,1HR,"TANS 7A-9A, 3P-7P Mon-Fri | PKG 9A-3P Mon-Sat",,34.08359,-118.315072,1
SH324,6500 SANTA MONICA BL,Single-Space,FLAT,$1.00 ,1HR,8A-7P Mon-Sat,,34.090642,-118.331688,1
LT442,300 CENTRAL AVE,Single-Space,FLAT,$0.50 ,4HR,8A-6P Mon-Sat,1A-4A Fri,34.045294,-118.239476,0.5
WA476,600 PARK VIEW ST,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Sat,12P-3P Thu,34.060103,-118.279092,1
ED146,1001 S CENTRAL AVE,Single-Space,FLAT,$1.50 ,2HR,TANS 4P-6P Mon-Fri | PKG 8A-4P Mon-Sat,,34.031264,-118.244729,1.5
VN1,7001 VAN NUYS BL,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.198035,-118.44891,1
WW1760A,600 SERRANO AV,Single-Space,FLAT,$1.00 ,1HR,8A-6P Mon-Sat,8A-10A Wed,34.062425,-118.306496,1
L194,500 LARCHMONT BL,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Sat,,34.079985,-118.323533,1
SVV227,4601 VERMONT PL,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,10A-12P Fri,34.092504,-118.291139,1
HO173,1600 CAHUENGA BL,Single-Space,TOD,$1.5 - $3,2HR,"8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.100101,-118.329429,1.5
HO1021A,1700 EL CERRITO PL,Single-Space,TOD,$1.5 - $3,2HR,"TANS 8A-5A Fri | PKG 8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",12P-3P Mon,34.102349,-118.344672,1.5
CT562,700 NEW HIGH ST,Single-Space,TOD,$0.5 - $1.5,4HR,8A-8P Mon-Sat,4A-630A Thu,34.061415,-118.237893,0.5
WW2073,4000 WILSHIRE BL,Single-Space,FLAT,$1.00 ,1HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Sat",,34.061598,-118.316188,1
LM665,201 S. LA BREA AV,Single-Space,FLAT,$1.00 ,2HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Fri, 8A-8P Sat, 11A-8P Sun",,34.070057,-118.344149,1
SS280,1500 ARMACOST AV,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,12P-3P Thu,34.041545,-118.459822,1
SS222,11801 SANTA MONICA BL,Single-Space,FLAT,$1.00 ,1HR,"TANS 7A-9A, 4P-6P Mon-Fri | PKG 9A-4P, 6P-8P Mon-Fri, 8A-8P Sat",,34.042841,-118.458415,1
SA107A,1800 SUNSET BL,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.077735,-118.259869,1
BR115,11800 W SAN VICENTE BLVD,Single-Space,FLAT,$2.00 ,1HR,"8A-8P Mon-Sat, 11A-8P Sun",,34.05294,-118.468267,2
MV161,12200 VENICE BL,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.0043,-118.432007,1
WA992,1000 LAKE ST,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,10A-12P Fri,34.051627,-118.281264,1
SS73A,11501 SANTA MONICA BL,Single-Space,FLAT,$1.00 ,1HR,"TANS 7A-9A, 4P-6P Mon-Fri | PKG 9A-4P, 6P-8P Mon-Fri, 8A-8P Sat",,34.045441,-118.45249,1
VN939,6350 VAN NUYS BL,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.186041,-118.448568,1
P85,15300 ANTIOCH ST,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.04699,-118.526532,1
WS293,10801 MISSISSIPPI AV,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,10A-1P Fri,34.045056,-118.433359,1
SV53,1500 CAHUENGA BL,Single-Space,TOD,$0.5 - $1.5,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,34.099133,-118.329424,0.5
VS440,1301 VERMONT AV,Single-Space,FLAT,$1.00 ,1HR,"TANS 4P-7P Mon-Fri | PKG 8A-4P Mon-Fri, 8A-8P Sat",,34.096836,-118.29188,1
SL373,4300 SUNSET BL,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.095258,-118.283682,1
SO479,13700 VENTURA BL,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.148193,-118.432853,1
PC133,3700 PICO BL,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Sat,,34.047328,-118.322185,1
EN771,17000 VENTURA BL,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.159829,-118.504081,1
WB59,1800 S MAIN ST,Single-Space,FLAT,$0.50 ,4HR,TANS 7A-9A Mon-Fri | PKG 9A-6P Mon-Sat,,34.031506,-118.264132,0.5
WS729,1701 MIDVALE AV,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,8A-10A Thu,34.049719,-118.438311,1
WU599,700 UNION AV,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Sat,12P-3P Fri,34.053216,-118.271468,1
ED294,1200 S PALOMA ST,Single-Space,JUMP,$0.5\hr - $2\10hr,10HR,8A-6P Mon-Sat,,34.030891,-118.247907,0.5
LM366,7200 MELROSE AV,Single-Space,FLAT,$1.00 ,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,34.08342,-118.347242,1
MM493,300 LA BREA AV,Single-Space,FLAT,$1.00 ,2HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Sat",9A-11A Thu,34.067904,-118.343901,1
EN934,4600 GAVIOTA AV,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.155762,-118.481367,1
WP79B,3101 VIA DOLCE,Single-Space,FLAT,$1.00 ,2HR,8A-6P Daily,10A-12P Mon,33.98024,-118.462926,1
SO384,14700 VENTURA BL,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.151632,-118.4536,1
CB649,801 WALL ST,Single-Space,FLAT,$4.00 ,2HR,8A-6P Mon-Sat,,34.039911,-118.250734,4
SVV201,4601 SANTA MONICA BL,Single-Space,FLAT,$1.00 ,1HR,8A-8P Mon-Sat,,34.090963,-118.290011,1
LT446,300 CENTRAL AVE,Single-Space,FLAT,$0.50 ,4HR,8A-6P Mon-Sat,1A-4A Fri,34.045545,-118.239458,0.5
BR232,11700 W MONTANA AVE,Single-Space,FLAT,$2.00 ,2HR,"8A-8P Mon-Sat, 11A-8P Sun",8A-10A Fri,34.053446,-118.468824,2
NH399,5300 BAKMAN AV,Single-Space,FLAT,$1.00 ,1HR,8A-6P Mon-Sat,10A-12P Fri,34.167768,-118.377304,1
ED629,1001 S TOWNE AVE,Single-Space,TOD,$0.5 - $1.5,2HR,8A-6P Mon-Sat,,34.03385,-118.24995,0.5
WU759,800 BEACON AV,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Sat,12P-3P Thu,34.051792,-118.27393,1
HO273,6400 SELMA AV,Single-Space,TOD,$1.5 - $3,2HR,"8A-8P Mon-Thu, 8A-12A Fri-Sat, 11A-8P Sun",,34.099717,-118.329886,1.5
NH100,11000 MAGNOLIA BL,Single-Space,FLAT,$1.00 ,1HR,8A-6P Mon-Sat,,34.164835,-118.371848,1
EN1013A,4501 SHERMAN OAKS AV,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,8A-10A Fri,34.153087,-118.469364,1
VW1838,1201 MENLO AV,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Sat,10A-12P Fri,34.047722,-118.290787,1
WA624A,601 CARONDELET ST,Single-Space,FLAT,$1.00 ,4HR,8A-8P Mon-Sat,12P-3P Thu,34.061222,-118.279901,1
ER138,2000 COLORADO BL,Single-Space,FLAT,$1.00 ,2HR,8A-8P Mon-Sat,,34.139067,-118.210994,1
WW2025,601 SAINT ANDREWS PL,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Sat,11A-2P Thu,34.06205,-118.311657,1
BF187,601 SIERRA BONITA AV,Single-Space,FLAT,$1.00 ,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,34.083276,-118.354324,1
CB3368,401 E. 9TH ST,Single-Space,TOD,$4 - $6,2HR,TANS 7A-9A Mon-Fri | PKG 9A-6P Mon-Sat,,34.038959,-118.252021,4
CB118,1301 S HOPE ST,Single-Space,TOD,$1 - $2,4HR,8A-8P Mon-Sat,,34.039121,-118.266015,1
CP332,22100 SHERMAN WY,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Sat,,34.200899,-118.609424,1
RA105,400 S Robertson Bl,Single-Space,FLAT,$2.00 ,2HR,8A-6P Mon-Sat,,34.070667,-118.383671,2
ED169,1101 E 12TH ST,Single-Space,JUMP,$0.5\hr - $2\10hr,10HR,8A-6P Mon-Sat,,34.031036,-118.247157,0.5
VN474,6301 VESPER AV,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Sat,8A-10A Mon,34.186205,-118.450965,1
RA79,101 ROBERTSON BL,Single-Space,FLAT,$2.00 ,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,34.074423,-118.383849,2
WW186,301 N WESTERN AV,Single-Space,FLAT,$1.00 ,1HR,8A-6P Mon-Sat,,34.076913,-118.309255,1
LT118,301 E 1ST ST,Single-Space,TOD,$2 - $4,2HR,8A-8P Mon-Sat,,34.049983,-118.24015,2
WW2032,3901 WILSHIRE BL,Single-Space,FLAT,$1.00 ,1HR,"TANS 7A-9A, 4P-7P Mon-Fri | PKG 9A-4P Mon-Sat",,34.061797,-118.31239,1
WU1316,1701 JAMES M WOOD BL,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Sat,,34.05165,-118.27477,1
WF626,6101 ORANGE ST,Single-Space,FLAT,$1.00 ,2HR,"8A-8P Mon-Sat, 11A-8P Sun",9A-12P Mon,34.064128,-118.361799,1
LC95,801 LA CIENEGA BL,Single-Space,FLAT,$1.00 ,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,34.086257,-118.376568,1
CB735,901 S MAPLE AV,Single-Space,TOD,$1.5 - $4,2HR,"8A-6P Mon-Sat, 11A-6P Sun",,34.038976,-118.253382,1.5
CB3768,1601 S LOS ANGELES ST,Single-Space,TOD,$0.5 - $2,4HR,8A-6P Mon-Sat,,34.032703,-118.261912,0.5
WW394,600 OXFORD AV,Single-Space,FLAT,$1.00 ,1HR,8A-6P Mon-Sat,10A-1P Thu,34.060567,-118.307731,1
OS516,12201 OLYMPIC BL,Single-Space,FLAT,$1.00 ,30MIN,8A-6P Mon-Sat,,34.032071,-118.456367,1
LC154,8400 BEVERLY BL,Single-Space,FLAT,$1.00 ,2HR,"8A-8P Mon-Sat, 11A-8P Sun",,34.075929,-118.37514,1
VW1486,3201 4TH ST,Single-Space,FLAT,$1.00 ,2HR,8A-6P Mon-Sat,,34.067275,-118.291181,1
BF125,7800 OAKWOOD AV,Single-Space,FLAT,$1.00 ,30MIN,"8A-8P Mon-Sat, 11A-8P Sun",10A-12P Mon,34.078151,-118.361097,1
VW1870,701 HOOVER ST,Single-Space,FLAT,$1.00 ,1HR,8A-6P Mon-Sat,12P-2P Fri,34.059462,-118.284304,1
PM357,8801 VENICE BL,Single-Space,FLAT,$1.00 ,2HR,8A-8P Daily,,34.030939,-118.385785,1
